,tconst,primary_title,original_title,start_year,runtime_minutes,genres,actor,actress,composer,director,editor,producer,writer,movrating,r males,r females,r imdb users,r aged 18 29,r aged 30 44,r males aged 18 29,r males aged 30 44,r females aged 18 29,r top 1000 voters,r us users,r non us users,budget,global_gross,budget_inmil,gross_inmil,profit_ratio
218,tt2822672,Rock Dog,Rock Dog,2016,90.0,"Adventure,Animation,Comedy","nm0005561, nm0412850, nm0799777, nm0085400",,,nm0105169,,,"nm0278181, nm0900820, nm7594659, nm2682045, nm3858082",PG,5.9,6.3,5.9,5.9,5.9,5.7,5.9,6.5,4.9,5.7,5.9,60000000,20519503,60.0,20.519503,0.34199171666666667
219,tt2823054,Mike and Dave Need Wedding Dates,Mike and Dave Need Wedding Dates,2016,98.0,"Adventure,Comedy,Romance","nm1374980, nm2796745","nm0447695, nm2201555",,nm2021516,,"nm0867768, nm1858656, nm1349522","nm1157527, nm1895993",R,5.9,6.1,6.0,6.1,5.9,6.0,5.9,6.2,5.2,6.1,5.8,33000000,56148540,33.0,56.14854,1.701470909090909
220,tt2848292,Pitch Perfect 2,Pitch Perfect 2,2015,115.0,"Comedy,Music",,"nm0447695, nm2313103, nm2794962, nm0811242",nm0006205,nm0006969,,"nm0112189, nm2583641","nm0134224, nm3015467",PG-13,6.2,6.6,6.4,6.5,6.3,6.4,6.2,6.7,5.5,6.5,6.3,29000000,287506194,29.0,287.506194,9.914006689655173
221,tt2854926,Tag,Tag,2018,100.0,Comedy,"nm0719637, nm1159180, nm2159926, nm0358316",,nm1184901,nm1762961,,nm0307776,"nm1301035, nm0825356, nm9715487",R,6.5,6.7,6.5,6.7,6.4,6.6,6.4,6.8,6.2,6.6,6.4,28000000,76310515,28.0,76.310515,2.7253755357142855
222,tt2869728,Ride Along 2,Ride Along 2,2016,102.0,"Action,Comedy,Crime","nm0001084, nm0366389, nm0000973",nm1754366,,nm1103162,,"nm0108368, nm0023297","nm0006534, nm0542062, nm0177637",PG-13,5.8,6.2,5.9,6.1,5.7,6.1,5.7,6.4,5.0,5.7,5.8,40000000,125186461,40.0,125.186461,3.129661525
223,tt2872518,The Shack,The Shack,2017,132.0,"Drama,Fantasy","nm0941777, nm0005210","nm0818055, nm0593664",,nm0371955,,,"nm8815438, nm0299301, nm6150131, nm2308774, nm3523960",PG-13,6.1,6.8,6.3,6.4,6.1,6.2,6.0,6.8,4.8,6.6,6.0,20000000,96942115,20.0,96.942115,4.84710575
224,tt2872750,Shaun the Sheep Movie,Shaun the Sheep Movie,2015,85.0,"Adventure,Animation,Comedy","nm1017994, nm0816950, nm0229084, nm0916432",,nm1011065,"nm0123666, nm0326450",,"nm1385754, nm0516880",nm0661910,PG,7.3,7.4,7.3,7.4,7.3,7.4,7.3,7.4,6.8,7.4,7.3,25000000,106031284,25.0,106.031284,4.24125136
225,tt2873282,Red Sparrow,Red Sparrow,2018,140.0,"Action,Drama,Thriller","nm0249291, nm0774386","nm2225369, nm0001648",,nm1349376,,"nm0867768, nm1858656, nm2819401","nm1244808, nm5645796",R,6.6,6.7,6.6,6.6,6.5,6.6,6.5,6.8,6.0,6.5,6.6,69000000,151572634,69.0,151.572634,2.1967048405797103
226,tt2884018,Macbeth,Macbeth,2015,113.0,"Drama,History,War","nm1055413, nm7752797, nm7752798",nm0182839,,nm2355933,,nm2096617,"nm0521974, nm1105617, nm2078681, nm0000636",R,6.6,6.9,6.6,6.9,6.5,6.8,6.4,7.1,6.1,6.8,6.6,15000000,12601706,15.0,12.601706,0.8401137333333334
227,tt2888046,Ip Man 3,Yip Man 3,2015,105.0,"Action,Biography,Drama","nm0947447, nm1179707, nm0005512",nm3237713,,nm0948159,,"nm2260417, nm3019636","nm5335213, nm4183613, nm2774833",PG-13,7.0,7.2,7.1,7.2,7.0,7.1,7.0,7.2,6.6,7.0,7.0,36000000,156844753,36.0,156.844753,4.356798694444445
